,subject,who,net,comparison,value
65,15,human,-1,MS,-0.0783663527307703
66,16,human,-1,MS,0.06774446973582937
67,17,human,-1,MS,0.27964345368860233
68,18,human,-1,MS,0.10810839400123118
69,19,human,-1,MS,-0.11665230143514504
70,20,human,-1,MS,-0.006369206634022628
71,21,human,-1,MS,0.1153445867520182
72,22,human,-1,MS,0.1225797467550852
73,23,human,-1,MS,0.023587941113490496
74,24,human,-1,MS,-0.06918784430854386
0,0,model,0,TM,0.09688844416283782
1,1,model,0,TM,0.106850196445329
2,2,model,0,TM,0.09357047770378701
3,3,model,0,TM,-0.18629029666833774
4,4,model,0,TM,0.10158272854515482
5,5,model,0,TM,0.2424097947587739
6,6,model,0,TM,0.32874761676133946
7,7,model,0,TM,0.24483548000829536
8,8,model,0,TM,0.2852670025624152
9,9,model,0,TM,0.2456248543445877
10,10,model,0,TM,0.3493529383629801
11,11,model,0,TM,0.045914162745238074
12,12,model,0,TM,0.35177491509655734
13,13,model,0,TM,0.008952688148287202
14,14,model,0,TM,0.06525184819180463
15,15,model,0,TM,0.4307494624950089
16,16,model,0,TM,0.30157482996955076
17,17,model,0,TM,0.14674635480146447
18,18,model,0,TM,0.019645120342635658
19,19,model,0,TM,-0.05773985270189108
20,20,model,0,TM,0.0936396616792936
21,21,model,0,TM,0.10561254851773683
22,22,model,0,TM,0.2370809414741235
23,23,model,0,TM,0.27600609427890965
24,24,model,0,TM,0.4290370760867209
25,0,model,0,TS,0.17732843421573385
26,1,model,0,TS,0.08626751484974349
27,2,model,0,TS,0.14768813562980077
28,3,model,0,TS,-0.0747472623827643
29,4,model,0,TS,0.11049685415054067
30,5,model,0,TS,0.33510935850020285
31,6,model,0,TS,0.23596706054446992
32,7,model,0,TS,0.2750262200164526
33,8,model,0,TS,0.39335826520001627
34,9,model,0,TS,0.3768790045089302
35,10,model,0,TS,0.34927189899590805
36,11,model,0,TS,0.06513281245297953
37,12,model,0,TS,0.3972436992802548
38,13,model,0,TS,0.21403444936431937
39,14,model,0,TS,0.04714027127205911
40,15,model,0,TS,0.36309984337343404
41,16,model,0,TS,0.3609475728473026
42,17,model,0,TS,0.3177556821039015
43,18,model,0,TS,0.07860831602987006
44,19,model,0,TS,-0.1454890483872764
45,20,model,0,TS,0.12457801617345277
46,21,model,0,TS,0.26832317748709433
47,22,model,0,TS,0.3166039536839236
48,23,model,0,TS,0.29094621890671557
49,24,model,0,TS,0.3675739588263701
50,0,model,0,MS,0.08043999005289604
51,1,model,0,MS,-0.020582681595585517
52,2,model,0,MS,0.05411765792601375
53,3,model,0,MS,0.11154303428557344
54,4,model,0,MS,0.008914125605385848
55,5,model,0,MS,0.09269956374142896
56,6,model,0,MS,-0.09278055621686954
57,7,model,0,MS,0.030190740008157246
58,8,model,0,MS,0.10809126263760105
59,9,model,0,MS,0.1312541501643425
60,10,model,0,MS,-8.10393670720444e-05
61,11,model,0,MS,0.019218649707741453
62,12,model,0,MS,0.045468784183697486
63,13,model,0,MS,0.20508176121603217
