,subject,who,net,comparison,value
13,13,model,8,TM,-0.057388581878963785
14,14,model,8,TM,0.0018193850458324556
15,15,model,8,TM,0.4784074206008896
16,16,model,8,TM,0.34839146988435865
17,17,model,8,TM,0.15668931043602174
18,18,model,8,TM,-0.06487086231157069
19,19,model,8,TM,-0.11066347744127181
20,20,model,8,TM,0.1097493850169815
21,21,model,8,TM,0.191322380745357
22,22,model,8,TM,0.265846650486273
23,23,model,8,TM,0.1954776771949519
24,24,model,8,TM,0.42723484613837825
25,0,model,8,TS,0.13323546115277696
26,1,model,8,TS,0.06311488874513826
27,2,model,8,TS,0.17552402660512212
28,3,model,8,TS,-0.27517809823763995
29,4,model,8,TS,0.1440426827340191
30,5,model,8,TS,0.45125013781377876
31,6,model,8,TS,0.24728193992576897
32,7,model,8,TS,0.3252806819738179
33,8,model,8,TS,0.42279492999016854
34,9,model,8,TS,0.43231822324165115
35,10,model,8,TS,0.35712216591630763
36,11,model,8,TS,0.08090295067547215
37,12,model,8,TS,0.485296334532603
38,13,model,8,TS,0.23102333826350907
39,14,model,8,TS,-0.03765609220578314
40,15,model,8,TS,0.38698405449202944
41,16,model,8,TS,0.3935340903712823
42,17,model,8,TS,0.41804216705034636
43,18,model,8,TS,0.046862975011543795
44,19,model,8,TS,-0.24605611502539537
45,20,model,8,TS,0.07769546329445409
46,21,model,8,TS,0.28195113147175765
47,22,model,8,TS,0.3715988308513688
48,23,model,8,TS,0.22361594143859365
49,24,model,8,TS,0.36226101863449445
50,0,model,8,MS,0.09954419152336225
51,1,model,8,MS,0.0050389251787418265
52,2,model,8,MS,0.11314155954896254
53,3,model,8,MS,0.1014935358207667
54,4,model,8,MS,0.014913642746073763
55,5,model,8,MS,0.14653996035500583
56,6,model,8,MS,-0.1104940118527622
57,7,model,8,MS,0.04455433337312498
58,8,model,8,MS,0.12227631266958472
59,9,model,8,MS,0.1703351934522097
60,10,model,8,MS,-0.056635461984400726
61,11,model,8,MS,0.005940781622863378
62,12,model,8,MS,0.01649971086694957
63,13,model,8,MS,0.28841192014247286
64,14,model,8,MS,-0.0394754772516156
65,15,model,8,MS,-0.09142336610886015
66,16,model,8,MS,0.045142620486923635
67,17,model,8,MS,0.2613528566143246
68,18,model,8,MS,0.11173383732311448
69,19,model,8,MS,-0.13539263758412357
70,20,model,8,MS,-0.03205392172252741
71,21,model,8,MS,0.09062875072640064
72,22,model,8,MS,0.10575218036509582
73,23,model,8,MS,0.028138264243641742
74,24,model,8,MS,-0.06497382750388381
0,0,model,9,TM,0.041561309583526884
1,1,model,9,TM,0.0020720370504113683
2,2,model,9,TM,0.11952010945779024
3,3,model,9,TM,-0.25358854996586955
4,4,model,9,TM,0.1669409543798589
5,5,model,9,TM,0.3226142250742744
6,6,model,9,TM,0.06572028755236436
7,7,model,9,TM,0.2663282910013126
8,8,model,9,TM,0.3097891655394105
9,9,model,9,TM,0.2477736366315446
10,10,model,9,TM,0.4442836256097401
11,11,model,9,TM,0.0611425682847857
12,12,model,9,TM,0.47685922331921693
13,13,model,9,TM,-0.008824141819094189
14,14,model,9,TM,0.03412054731727143
15,15,model,9,TM,0.47648332602482846
16,16,model,9,TM,0.3184719261357014
17,17,model,9,TM,0.13511338556135155
18,18,model,9,TM,-0.029011583363882876
19,19,model,9,TM,-0.06862683250228807
20,20,model,9,TM,0.11332896475252796
21,21,model,9,TM,0.1536768263307733
22,22,model,9,TM,0.28958839513815504
23,23,model,9,TM,0.2768967846795103
24,24,model,9,TM,0.41391800623210984
25,0,model,9,TS,0.19263677787272948
26,1,model,9,TS,-0.00322463586877364
27,2,model,9,TS,0.20304444395702137
28,3,model,9,TS,-0.15135987125384343
29,4,model,9,TS,0.17208415452198111
30,5,model,9,TS,0.4312095108455205
31,6,model,9,TS,0.08529356875910887
32,7,model,9,TS,0.35775137038240934
33,8,model,9,TS,0.4105953937492318
34,9,model,9,TS,0.35262225543553094
35,10,model,9,TS,0.44070580279530036
36,11,model,9,TS,0.06535839062875992
37,12,model,9,TS,0.5423799562663039
38,13,model,9,TS,0.2212994319437399
39,14,model,9,TS,-0.011544219711380865
40,15,model,9,TS,0.415880094351468
41,16,model,9,TS,0.4027005250052007
42,17,model,9,TS,0.38202171470671875
43,18,model,9,TS,0.06076864125440229
44,19,model,9,TS,-0.20712406198617994
45,20,model,9,TS,0.12456029087296505
46,21,model,9,TS,0.292722118149355
47,22,model,9,TS,0.35991054291628277
48,23,model,9,TS,0.3002504755408977
49,24,model,9,TS,0.3849029952511479
50,0,model,9,MS,0.1510754682892026
51,1,model,9,MS,-0.005296672919185008
52,2,model,9,MS,0.08352433449923113
53,3,model,9,MS,0.10222867871202612
54,4,model,9,MS,0.005143200142122217
55,5,model,9,MS,0.10859528577124611
56,6,model,9,MS,0.01957328120674451
57,7,model,9,MS,0.09142307938109673
58,8,model,9,MS,0.10080622820982132
59,9,model,9,MS,0.10484861880398633
60,10,model,9,MS,-0.003577822814439746
61,11,model,9,MS,0.004215822343974218
62,12,model,9,MS,0.06552073294708693
63,13,model,9,MS,0.2301235737628341
64,14,model,9,MS,-0.0456647670286523
65,15,model,9,MS,-0.06060323167336046
66,16,model,9,MS,0.0842285988694993
67,17,model,9,MS,0.2469083291453672
68,18,model,9,MS,0.08978022461828516
69,19,model,9,MS,-0.13849722948389187
70,20,model,9,MS,0.01123132612043709
71,21,model,9,MS,0.13904529181858172
72,22,model,9,MS,0.07032214777812773
73,23,model,9,MS,0.02335369086138739
74,24,model,9,MS,-0.02901501098096193
