net	condition	timestep	distance
4	0	20	0.16667016
4	1	20	0.17798243
4	2	20	0.18421127
4	0	21	0.1709204
4	1	21	0.18140075
4	2	21	0.18963479
5	0	0	0.28362975
5	1	0	0.25045776
5	2	0	0.20789377
5	0	1	0.28918663
5	1	1	0.25908923
5	2	1	0.2109799
5	0	2	0.2977513
5	1	2	0.27313143
5	2	2	0.22504239
5	0	3	0.30220675
5	1	3	0.2787975
5	2	3	0.2358693
5	0	4	0.29855004
5	1	4	0.27622628
5	2	4	0.24086611
5	0	5	0.28565523
5	1	5	0.26683885
5	2	5	0.23932973
5	0	6	0.2637929
5	1	6	0.25072587
5	2	6	0.23043382
5	0	7	0.23758624
5	1	7	0.23047641
5	2	7	0.216521
5	0	8	0.21406083
5	1	8	0.21297802
5	2	8	0.20367649
5	0	9	0.19819446
5	1	9	0.20334432
5	2	9	0.19706549
5	0	10	0.19074826
5	1	10	0.20159563
5	2	10	0.1966366
5	0	11	0.18975504
5	1	11	0.20347346
5	2	11	0.19959891
5	0	12	0.191991
5	1	12	0.20588478
5	2	12	0.2034449
5	0	13	0.1951949
5	1	13	0.20722613
5	2	13	0.20636666
5	0	14	0.19752297
5	1	14	0.20703354
5	2	14	0.20812802
5	0	15	0.19840099
5	1	15	0.2053267
5	2	15	0.20807289
5	0	16	0.19750981
5	1	16	0.20205525
5	2	16	0.20630561
5	0	17	0.19464238
5	1	17	0.19786039
5	2	17	0.20372188
5	0	18	0.19027932
5	1	18	0.19379082
5	2	18	0.20095292
5	0	19	0.18517832
5	1	19	0.19097036
5	2	19	0.19906458
5	0	20	0.18016921
5	1	20	0.1897057
5	2	20	0.19848935
5	0	21	0.17622371
5	1	21	0.1900276
5	2	21	0.19983925
6	0	0	0.2498145
6	1	0	0.20689917
6	2	0	0.20032091
6	0	1	0.2116723
6	1	1	0.19211672
6	2	1	0.18204099
6	0	2	0.20117256
6	1	2	0.19477445
6	2	2	0.17935352
6	0	3	0.20122954
6	1	3	0.20288534
6	2	3	0.1848798
6	0	4	0.20434944
6	1	4	0.21030225
6	2	4	0.19348446
6	0	5	0.20730889
6	1	5	0.21373217
6	2	5	0.20080604
6	0	6	0.20654173
6	1	6	0.21100613
6	2	6	0.20382641
6	0	7	0.20058605
6	1	7	0.20123236
6	2	7	0.20023128
6	0	8	0.1898612
6	1	8	0.1866561
6	2	8	0.19071314
6	0	9	0.1767619
6	1	9	0.170294
6	2	9	0.17835991
6	0	10	0.16440776
6	1	10	0.15647382
6	2	10	0.16674772
6	0	11	0.15395314
6	1	11	0.1468404
6	2	11	0.15754388
6	0	12	0.14603777
6	1	12	0.14108735
6	2	12	0.15088086
6	0	13	0.1403338
6	1	13	0.13786216
6	2	13	0.146746
6	0	14	0.13547912
6	1	14	0.13605265
6	2	14	0.14460813
6	0	15	0.1321306
6	1	15	0.13393159
6	2	15	0.14297841
6	0	16	0.12939593
6	1	16	0.13298537
6	2	16	0.1424836
6	0	17	0.12704653
6	1	17	0.13183029
6	2	17	0.14224155
6	0	18	0.12522836
6	1	18	0.13105725
6	2	18	0.14240955
6	0	19	0.123816416
6	1	19	0.13042673
6	2	19	0.1428389
6	0	20	0.12262942
6	1	20	0.12985276
6	2	20	0.1435566
6	0	21	0.121799625
6	1	21	0.12969792
6	2	21	0.1445387
7	0	0	0.22489935
7	1	0	0.18491314
7	2	0	0.17400764
7	0	1	0.20378774
7	1	1	0.18459895
7	2	1	0.16841577
7	0	2	0.1991819
7	1	2	0.18968166
7	2	2	0.17262349
7	0	3	0.20278497
7	1	3	0.19737256
7	2	3	0.18090968
7	0	4	0.2088582
7	1	4	0.20606005
7	2	4	0.18995629
7	0	5	0.21308242
7	1	5	0.21234721
7	2	5	0.196216
7	0	6	0.21271983
7	1	6	0.21294785
7	2	6	0.19730157
7	0	7	0.20710975
7	1	7	0.2068512
7	2	7	0.19320852
7	0	8	0.19682711
7	1	8	0.19568114
7	2	8	0.1850608
7	0	9	0.18401049
7	1	9	0.18280706
7	2	9	0.17485371
7	0	10	0.17076136
7	1	10	0.17008974
7	2	10	0.16465195
7	0	11	0.15890346
7	1	11	0.1591814
7	2	11	0.15543994
7	0	12	0.14854376
7	1	12	0.15028355
7	2	12	0.14809251
7	0	13	0.13998045
7	1	13	0.14319366
7	2	13	0.14231858
7	0	14	0.13325058
7	1	14	0.13775428
7	2	14	0.13832904
7	0	15	0.12806512
7	1	15	0.13413583
7	2	15	0.1357467
7	0	16	0.124302484
7	1	16	0.13157392
7	2	16	0.13410507
7	0	17	0.12148025
7	1	17	0.13007486
7	2	17	0.13334891
7	0	18	0.11928993
7	1	18	0.12963375
7	2	18	0.13365285
7	0	19	0.1173768
7	1	19	0.12948427
7	2	19	0.13432413
7	0	20	0.11589722
7	1	20	0.12941629
7	2	20	0.13542663
7	0	21	0.11423928
7	1	21	0.12991834
7	2	21	0.1367722
8	0	0	0.20573252
8	1	0	0.18946478
8	2	0	0.17162837
8	0	1	0.20264883
8	1	1	0.18954998
8	2	1	0.17356238
8	0	2	0.20943056
8	1	2	0.20213765
8	2	2	0.18886006
8	0	3	0.22087641
8	1	3	0.21915947
8	2	3	0.20772977
8	0	4	0.22961
8	1	4	0.23234366
8	2	4	0.22263578
8	0	5	0.23039846
8	1	5	0.23572819
8	2	5	0.22751164
8	0	6	0.22267321
8	1	6	0.22786158
8	2	6	0.22188303
8	0	7	0.20983003
8	1	7	0.21267742
8	2	7	0.21051809
8	0	8	0.1965111
8	1	8	0.19659963
8	2	8	0.19834799
8	0	9	0.18483682
8	1	9	0.18307056
8	2	9	0.1879936
8	0	10	0.17537794
8	1	10	0.17284404
8	2	10	0.17986682
8	0	11	0.16805968
8	1	11	0.16486187
8	2	11	0.17355919
8	0	12	0.16238569
8	1	12	0.15919758
8	2	12	0.16935009
8	0	13	0.15829585
8	1	13	0.1554164
8	2	13	0.1666798
8	0	14	0.15576755
8	1	14	0.15360016
8	2	14	0.16532305
8	0	15	0.15461981
8	1	15	0.1534861
8	2	15	0.16581693
8	0	16	0.15466629
8	1	16	0.15486741
8	2	16	0.16746391
8	0	17	0.15585677
8	1	17	0.15714264
8	2	17	0.17031555
8	0	18	0.15796794
8	1	18	0.16039006
8	2	18	0.17420088
8	0	19	0.16060248
8	1	19	0.16421667
8	2	19	0.1785819
8	0	20	0.16376825
8	1	20	0.16853254
8	2	20	0.18362924
8	0	21	0.16693988
8	1	21	0.17309462
8	2	21	0.18906994
9	0	0	0.30291283
9	1	0	0.29179394
9	2	0	0.25240615
9	0	1	0.2670831
