net	condition	timestep	distance
7	2	0	0.010905504
7	0	1	0.019188792
7	1	1	0.035371974
7	2	1	0.016183183
7	0	2	0.009500235
7	1	2	0.026558414
7	2	2	0.017058179
7	0	3	0.0054124147
7	1	3	0.021875292
7	2	3	0.016462877
7	0	4	0.002798155
7	1	4	0.018901914
7	2	4	0.01610376
7	0	5	0.0007352084
7	1	5	0.016866416
7	2	5	0.016131207
7	0	6	-0.00022801757
7	1	6	0.015418261
7	2	6	0.015646279
7	0	7	0.00025855005
7	1	7	0.013901234
7	2	7	0.013642684
7	0	8	0.0011459738
7	1	8	0.0117663145
7	2	8	0.010620341
7	0	9	0.0012034327
7	1	9	0.009156778
7	2	9	0.007953346
7	0	10	0.00067162514
7	1	10	0.0061094165
7	2	10	0.0054377913
7	0	11	-0.00027793646
7	1	11	0.0034635216
7	2	11	0.003741458
7	0	12	-0.0017397851
7	1	12	0.00045125186
7	2	12	0.002191037
7	0	13	-0.003213212
7	1	13	-0.0023381263
7	2	13	0.0008750856
7	0	14	-0.004503697
7	1	14	-0.0050784647
7	2	14	-0.0005747676
7	0	15	-0.0060707033
7	1	15	-0.0076815784
7	2	15	-0.0016108751
7	0	16	-0.0072714314
7	1	16	-0.009802587
7	2	16	-0.002531156
7	0	17	-0.00859461
7	1	17	-0.011868663
7	2	17	-0.0032740533
7	0	18	-0.010343827
7	1	18	-0.014362924
7	2	18	-0.0040190965
7	0	19	-0.012107469
7	1	19	-0.016947336
7	2	19	-0.0048398674
7	0	20	-0.013519064
7	1	20	-0.019529402
7	2	20	-0.0060103387
7	0	21	-0.015679054
7	1	21	-0.022532918
7	2	21	-0.0068538636
8	0	0	0.016267747
8	1	0	0.034104154
8	2	0	0.017836407
8	0	1	0.013098851
8	1	1	0.029086456
8	2	1	0.015987605
8	0	2	0.0072929114
8	1	2	0.020570502
8	2	2	0.01327759
8	0	3	0.0017169416
8	1	3	0.013146639
8	2	3	0.011429697
8	0	4	-0.0027336627
8	1	4	0.0069742203
8	2	4	0.009707883
8	0	5	-0.005329728
8	1	5	0.0028868169
8	2	5	0.008216545
8	0	6	-0.0051883757
8	1	6	0.0007901788
8	2	6	0.0059785545
8	0	7	-0.0028473884
8	1	7	-0.0006880611
8	2	7	0.0021593273
8	0	8	-8.85278e-05
